,length,condition,lat,lon,intersection,model_type,id,road
0,4.0,,23.7060278,90.443333,,source,10000,N1
1,1800.0,NaN,23.702383230000002,90.45109703999995,,link,10001,N1
2,11.3,A,23.69873866,90.4588610799999,,bridge,10002,N1
3,3125.0,NaN,23.6967012481818,90.47331799909085,,link,10003,N1
4,6.6,A,23.6946638363636,90.4877749181818,,bridge,10004,N1
5,3838.0,NaN,23.7003735681818,90.5046510090909,N2,link,10005,N1
6,4.0,,23.7060833,90.5215271,N2,intersection,10006,N1
7,213.00000000000097,NaN,23.70557159628375,90.52237062317565,,link,10007,N1
8,394.23,A,23.7050598925675,90.5232141463513,,bridge,10008,N1
9,1566.9999999999984,NaN,23.7007299897392,90.529156563228,,link,10009,N1
10,8.0,B,23.6964000869109,90.5350989801047,,bridge,10010,N1
11,337.00000000000153,NaN,23.695395350523498,90.5363365287958,,link,10011,N1
12,6.3,A,23.6943906141361,90.5375740774869,,bridge,10012,N1
13,16.99999999999946,NaN,23.694346500525953,90.53764072472475,,link,10013,N1
14,6.3,A,23.6943023869158,90.5377073719626,,bridge,10014,N1
15,398.99999999999915,NaN,23.693331269392452,90.5393128808411,,link,10015,N1
16,8.3,A,23.6923601518691,90.5409183897196,,bridge,10016,N1
17,512.0000000000005,NaN,23.6916360416921,90.54319044273855,,link,10017,N1
18,10.6,B,23.6909119315151,90.5454624957575,,bridge,10018,N1
19,128.0000000000001,NaN,23.69066411575755,90.54602274787875,N105,link,10019,N1
20,4.0,,23.6904163,90.546583,N105,intersection,10020,N1
21,303.0000000000008,NaN,23.6894143130102,90.54757076454081,,link,10021,N1
22,9.3,A,23.6884123260204,90.5485585290816,,bridge,10022,N1
23,13.999999999999346,NaN,23.6883660295918,90.5486041683673,,link,10023,N1
24,6.1,A,23.6883197331632,90.548649807653,,bridge,10024,N1
25,407.0,NaN,23.686951380095103,90.54992889436701,,link,10025,N1
26,27.5,A,23.685583027027,90.551207981081,,bridge,10026,N1
27,28.00000000000047,NaN,23.6854725024806,90.5512835788034,,link,10027,N1
28,27.5,A,23.6853619779342,90.5513591765258,,bridge,10028,N1
29,885.9999999999992,NaN,23.6815827389671,90.55358930576286,,link,10029,N1
30,11.9,A,23.6778035,90.5558194349999,,bridge,10030,N1
31,1891.0,NaN,23.67055628480745,90.55983821489846,,link,10031,N1
32,5.55,B,23.6633090696149,90.563856994797,,bridge,10032,N1
33,1669.0000000000005,NaN,23.65886738736425,90.5702936098985,,link,10033,N1
34,159.52,C,23.6544257051136,90.576730225,,bridge,10034,N1
35,88.00000000000097,NaN,23.6541989825568,90.5770703225,,link,10035,N1
36,20.45,A,23.65397226,90.57741042,,bridge,10036,N1
37,0.0,NaN,23.65397226,90.57741042,,link,10037,N1
38,20.5,A,23.65397226,90.57741042,,bridge,10038,N1
39,500.0,NaN,23.6527714131858,90.5794524073451,,link,10039,N1
40,20.0,B,23.6515705663716,90.5814943946902,,bridge,10040,N1
41,370.99999999999864,NaN,23.6506624828632,90.58302170161924,,link,10041,N1
42,25.5,A,23.6497543993548,90.5845490085483,,bridge,10042,N1
43,0.0,NaN,23.6497543993548,90.5845490085483,,link,10043,N1
44,25.5,B,23.6497543993548,90.5845490085483,,bridge,10044,N1
45,649.0000000000009,NaN,23.647861497135,90.5868804949521,,link,10045,N1
46,40.5,C,23.6459685949152,90.5892119813559,,bridge,10046,N1
47,0.0,NaN,23.6459685949152,90.5892119813559,,link,10047,N1
48,40.33,B,23.6459685949152,90.5892119813559,,bridge,10048,N1
49,1018.0000000000007,NaN,23.6419614832268,90.5914396895241,,link,10049,N1
50,6.0,A,23.6379543715384,90.5936673976923,,bridge,10050,N1
51,636.9999999999969,NaN,23.6358797957692,90.59553074134615,,link,10051,N1
52,10.4,B,23.63380522,90.597394085,,bridge,10052,N1
53,787.0000000000026,NaN,23.6311360353846,90.59984782865385,,link,10053,N1
54,89.75,A,23.6284668507692,90.6023015723077,,bridge,10054,N1
55,0.0,NaN,23.6284668507692,90.6023015723077,,link,10055,N1
56,86.92,A,23.6284668507692,90.6023015723077,,bridge,10056,N1
57,1143.9999999999984,NaN,23.624175036860002,90.6053272287768,,link,10057,N1
58,5.5,B,23.6198832229508,90.6083528852459,,bridge,10058,N1
59,268.0000000000007,NaN,23.61876200971065,90.60895174791705,,link,10059,N1
60,224.82,B,23.6176407964705,90.6095506105882,,bridge,10060,N1
61,0.0,NaN,23.6176407964705,90.6095506105882,,link,10061,N1
62,224.8,A,23.6176407964705,90.6095506105882,,bridge,10062,N1
63,484.99999999999943,NaN,23.615614090427748,90.61022678336894,,link,10063,N1
64,119.32,A,23.613587384385,90.6109029561497,,bridge,10064,N1
65,0.0,NaN,23.613587384385,90.6109029561497,,link,10065,N1
66,119.48,A,23.613587384385,90.6109029561497,,bridge,10066,N1
67,1312.0000000000011,NaN,23.60817348647165,90.61321732635861,,link,10067,N1
68,924.85,A,23.6027595885583,90.6155316965675,,bridge,10068,N1
69,1721.9999999999977,NaN,23.5978707356738,90.6217508168297,,link,10069,N1
70,5.6,A,23.5929818827893,90.6279699370919,,bridge,10070,N1
71,337.0000000000033,NaN,23.59189536876805,90.62910339845101,,link,10071,N1
72,5.5,A,23.5908088547468,90.6302368598101,,bridge,10072,N1
73,667.9999999999993,NaN,23.588563488643402,90.6323731402597,,link,10073,N1
74,5.6,A,23.58631812254,90.6345094207093,,bridge,10074,N1
75,1195.0000000000002,NaN,23.58214907369375,90.6382143648516,,link,10075,N1
76,172.1,A,23.5779800248475,90.6419193089939,,bridge,10076,N1
77,0.0,NaN,23.5779800248475,90.6419193089939,,link,10077,N1
78,173.25,A,23.5779800248475,90.6419193089939,,bridge,10078,N1
79,823.0000000000005,NaN,23.574805325272,90.64366761633906,,link,10079,N1
80,29.85,A,23.5716306256965,90.6454159236842,,bridge,10080,N1
81,0.0,NaN,23.5716306256965,90.6454159236842,,link,10081,N1
82,29.77,A,23.5716306256965,90.6454159236842,,bridge,10082,N1
83,703.999999999997,NaN,23.5688170106743,90.6470198242062,,link,10083,N1
84,34.7,A,23.5660033956521,90.6486237247282,,bridge,10084,N1
85,1066.0000000000025,NaN,23.56259721264085,90.65218564754925,,link,10085,N1
86,27.4,A,23.5591910296296,90.6557475703703,,bridge,10086,N1
87,564.0,NaN,23.55744965987805,90.6577444974636,,link,10087,N1
88,29.85,A,23.5557082901265,90.6597414245569,,bridge,10088,N1
89,0.0,NaN,23.5557082901265,90.6597414245569,,link,10089,N1
90,29.83,A,23.5557082901265,90.6597414245569,,bridge,10090,N1
91,649.0000000000009,NaN,23.55372524042405,90.6620476499073,,link,10091,N1
92,29.87,A,23.5517421907216,90.6643538752577,,bridge,10092,N1
93,0.0,NaN,23.5517421907216,90.6643538752577,,link,10093,N1
94,29.9,A,23.5517421907216,90.6643538752577,,bridge,10094,N1
95,655.9999999999989,NaN,23.5497399676822,90.66670464253954,,link,10095,N1
96,9.1,A,23.5477377446428,90.6690554098214,,bridge,10096,N1
97,18.99999999999835,NaN,23.54768119419635,90.6691237377232,,link,10097,N1
98,5.2,A,23.5476246437499,90.669192065625,,bridge,10098,N1
99,795.0000000000017,NaN,23.54515503749995,90.6720106390625,,link,10099,N1
100,72.49,A,23.54268543125,90.6748292125,,bridge,10100,N1
101,0.0,NaN,23.54268543125,90.6748292125,,link,10101,N1
102,59.83,A,23.54268543125,90.6748292125,,bridge,10102,N1
103,519.999999999996,NaN,23.541038224025,90.67664350065,,link,10103,N1
104,5.1,C,23.5393910168,90.6784577888,,bridge,10104,N1
